Identifier,"DISTRICT:कृपया अपना विवरण (District, School, Gender, and Name) चुनें:","GENDER:कृपया अपना विवरण (District, School, Gender, and Name) चुनें:",1a_grit_localtravel,1b_grit_localtravel,2a_grit_errands,2b_grit_errands,3a_grit_publicspeaking,3b_grit_publicspeaking,4a_grit_discussion,4b_grit_discussion,5a_grit_persevered,5b_grit_persevered,6a_tnt_extraleadership,6b_tnt_extraleadership,7a_tnt_newskill,7b_tnt_newskill,8a_tnt_helpingothers,8b_tnt_helpingothers,9a_tnt_risktaking,9b_tnt_risktaking,10a_tnt_project,10b_tnt_project
145,CHAMOLI,लड़की,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,"(c) हाँ, एक या दो बार",,"(c) हाँ, एक या दो बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,"(c) हाँ, एक या दो बार",,(a) हाँ,
146,CHAMOLI,लड़की,"(c) हाँ, एक या दो बार",,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,"(c) हाँ, एक या दो बार",,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,(b) नहीं,(b) मन नहीं था
147,CHAMOLI,लड़की,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,"(a) हाँ, बहुत बार",,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,(d) नहीं,(b) मन नहीं था,(a) हाँ,
148,RUDRAPRAYAG,लड़का,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,(a) हाँ,
149,CHAMOLI,लड़की,"(c) हाँ, एक या दो बार",,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,(d) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,(d) नहीं,(b) मन नहीं था,(d) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,"(c) हाँ, एक या दो बार",,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,(b) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला
150,CHAMOLI,लड़की,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,"(c) हाँ, एक या दो बार",,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,(d) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला,"(b) हाँ, कभी-कभी",,(b) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला
151,CHAMOLI,लड़की,(d) नहीं,"(d) परिवार, बुज़ुर्ग, शिक्षक आदि ने अनुमति नहीं दी","(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,(b) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला
152,CHAMOLI,लड़की,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(c) हाँ, एक या दो बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,(a) हाँ,
153,CHAMOLI,लड़की,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(c) हाँ, एक या दो बार",,(d) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला,"(b) हाँ, कभी-कभी",,(d) नहीं,(b) मन नहीं था,"(b) हाँ, कभी-कभी",,(d) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला,"(c) हाँ, एक या दो बार",,(b) नहीं,(b) मन नहीं था
154,CHAMOLI,लड़की,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,(d) नहीं,(b) मन नहीं था,(d) नहीं,(b) मन नहीं था,(d) नहीं,(b) मन नहीं था,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,(d) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,(b) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी
155,CHAMOLI,लड़की,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,(d) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,(b) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला
156,RUDRAPRAYAG,लड़की,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,"(a) हाँ, बहुत बार",,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,"(b) हाँ, कभी-कभी",,(a) हाँ,
157,TEHRI GARHWAL,लड़की,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,"(c) हाँ, एक या दो बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,(a) हाँ,
158,TEHRI GARHWAL,लड़की,"(c) हाँ, एक या दो बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,"(c) हाँ, एक या दो बार",,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,(b) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला
159,TEHRI GARHWAL,लड़की,(d) नहीं,"(d) परिवार, बुज़ुर्ग, शिक्षक आदि ने अनुमति नहीं दी","(a) हाँ, बहुत बार",,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,(d) नहीं,(b) मन नहीं था,"(b) हाँ, कभी-कभी",,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,(b) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला
160,TEHRI GARHWAL,लड़की,"(c) हाँ, एक या दो बार",,"(c) हाँ, एक या दो बार",,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,"(c) हाँ, एक या दो बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,(d) नहीं,(b) मन नहीं था,"(a) हाँ, बहुत बार",,"(c) हाँ, एक या दो बार",,(b) नहीं,(b) मन नहीं था
161,TEHRI GARHWAL,लड़की,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,(a) हाँ,
162,TEHRI GARHWAL,लड़की,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,(d) नहीं,(b) मन नहीं था,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,(d) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,(b) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी
163,TEHRI GARHWAL,लड़की,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,(d) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,"(b) हाँ, कभी-कभी",,(d) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला,(a) हाँ,
164,TEHRI GARHWAL,लड़की,"(c) हाँ, एक या दो बार",,"(a) हाँ, बहुत बार",,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,(a) हाँ,
165,TEHRI GARHWAL,लड़की,"(c) हाँ, एक या दो बार",,"(b) हाँ, कभी-कभी",,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,(d) नहीं,(b) मन नहीं था,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,(d) नहीं,"(d) परिवार, बुज़ुर्ग, शिक्षक आदि ने अनुमति नहीं दी",(b) नहीं,(b) मन नहीं था
166,TEHRI GARHWAL,लड़की,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,(d) नहीं,(b) मन नहीं था,(a) हाँ,
167,UDHAM SINGH NAGAR,लड़का,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,"(c) हाँ, एक या दो बार",,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,"(c) हाँ, एक या दो बार",,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,"(b) हाँ, कभी-कभी",,(d) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला,"(b) हाँ, कभी-कभी",,(b) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी
168,TEHRI GARHWAL,लड़का,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,"(a) हाँ, बहुत बार",,"(c) हाँ, एक या दो बार",,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,(d) नहीं,(b) मन नहीं था,(a) हाँ,
169,TEHRI GARHWAL,लड़की,(d) नहीं,(b) मन नहीं था,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,"(a) हाँ, बहुत बार",,(a) हाँ,
170,CHAMOLI,लड़की,(d) नहीं,"(d) परिवार, बुज़ुर्ग, शिक्षक आदि ने अनुमति नहीं दी","(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,(a) हाँ,
171,TEHRI GARHWAL,लड़की,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,"(a) हाँ, बहुत बार",,(d) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला,"(a) हाँ, बहुत बार",,(d) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला,(d) नहीं,(b) मन नहीं था,"(a) हाँ, बहुत बार",,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,(a) हाँ,
172,TEHRI GARHWAL,लड़की,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,(d) नहीं,(b) मन नहीं था,(d) नहीं,(b) मन नहीं था,(d) नहीं,(b) मन नहीं था,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,(b) नहीं,(b) मन नहीं था
173,TEHRI GARHWAL,लड़की,(d) नहीं,(b) मन नहीं था,"(c) हाँ, एक या दो बार",,"(c) हाँ, एक या दो बार",,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,"(b) हाँ, कभी-कभी",,(d) नहीं,(b) मन नहीं था,"(c) हाँ, एक या दो बार",,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,"(c) हाँ, एक या दो बार",,(b) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी
174,CHAMOLI,लड़का,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,(a) हाँ,
175,TEHRI GARHWAL,लड़की,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,(b) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी
176,TEHRI GARHWAL,लड़का,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,(d) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(c) हाँ, एक या दो बार",,(a) हाँ,
177,UDHAM SINGH NAGAR,लड़का,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(c) हाँ, एक या दो बार",,(a) हाँ,
178,TEHRI GARHWAL,लड़का,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,(d) नहीं,(b) मन नहीं था,"(c) हाँ, एक या दो बार",,(d) नहीं,(b) मन नहीं था,(d) नहीं,"(d) परिवार, बुज़ुर्ग, शिक्षक आदि ने अनुमति नहीं दी","(c) हाँ, एक या दो बार",,"(c) हाँ, एक या दो बार",,(b) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी
179,PAURI GARHWAL,लड़का,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(c) हाँ, एक या दो बार",,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,"(b) हाँ, कभी-कभी",,(d) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,(b) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला
180,PAURI GARHWAL,लड़का,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(c) हाँ, एक या दो बार",,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,(a) हाँ,
181,TEHRI GARHWAL,लड़का,(d) नहीं,"(d) परिवार, बुज़ुर्ग, शिक्षक आदि ने अनुमति नहीं दी",(d) नहीं,(b) मन नहीं था,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,"(c) हाँ, एक या दो बार",,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,"(c) हाँ, एक या दो बार",,"(c) हाँ, एक या दो बार",,(b) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला
182,TEHRI GARHWAL,लड़का,"(c) हाँ, एक या दो बार",,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,(d) नहीं,(b) मन नहीं था,"(c) हाँ, एक या दो बार",,(d) नहीं,"(d) परिवार, बुज़ुर्ग, शिक्षक आदि ने अनुमति नहीं दी",(b) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला
183,TEHRI GARHWAL,लड़का,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,(d) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला,(d) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला,(b) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला
184,CHAMOLI,लड़का,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(c) हाँ, एक या दो बार",,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,(d) नहीं,(b) मन नहीं था,(a) हाँ,
185,UDHAM SINGH NAGAR,लड़की,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,(d) नहीं,(b) मन नहीं था,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,"(c) हाँ, एक या दो बार",,"(c) हाँ, एक या दो बार",,(b) नहीं,(b) मन नहीं था
186,CHAMOLI,लड़का,"(c) हाँ, एक या दो बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,(b) नहीं,"(d) परिवार, बुज़ुर्ग, शिक्षक आदि ने अनुमति नहीं दी"
187,CHAMOLI,लड़का,"(c) हाँ, एक या दो बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,"(b) हाँ, कभी-कभी",,(b) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला
188,CHAMOLI,लड़का,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,(b) नहीं,(b) मन नहीं था
189,CHAMOLI,लड़का,"(a) हाँ, बहुत बार",,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,"(a) हाँ, बहुत बार",,(d) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला,"(c) हाँ, एक या दो बार",,(d) नहीं,(b) मन नहीं था,"(c) हाँ, एक या दो बार",,(d) नहीं,(b) मन नहीं था,"(b) हाँ, कभी-कभी",,(a) हाँ,
190,CHAMOLI,लड़की,"(c) हाँ, एक या दो बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,(d) नहीं,(b) मन नहीं था,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,(a) हाँ,
191,TEHRI GARHWAL,लड़का,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,"(c) हाँ, एक या दो बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,(b) नहीं,(b) मन नहीं था
192,TEHRI GARHWAL,लड़का,"(b) हाँ, कभी-कभी",,(d) नहीं,(b) मन नहीं था,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,(d) नहीं,"(d) परिवार, बुज़ुर्ग, शिक्षक आदि ने अनुमति नहीं दी","(c) हाँ, एक या दो बार",,(d) नहीं,"(d) परिवार, बुज़ुर्ग, शिक्षक आदि ने अनुमति नहीं दी",(b) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला
193,PAURI GARHWAL,लड़की,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,"(a) हाँ, बहुत बार",,(d) नहीं,(b) मन नहीं था,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,"(c) हाँ, एक या दो बार",,(d) नहीं,(b) मन नहीं था,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,(d) नहीं,(b) मन नहीं था,(a) हाँ,
194,PAURI GARHWAL,लड़का,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(c) हाँ, एक या दो बार",,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,(d) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला,(d) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला,(a) हाँ,
195,PAURI GARHWAL,लड़का,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,(a) हाँ,
196,TEHRI GARHWAL,लड़का,"(c) हाँ, एक या दो बार",,"(c) हाँ, एक या दो बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,"(c) हाँ, एक या दो बार",,(d) नहीं,"(d) परिवार, बुज़ुर्ग, शिक्षक आदि ने अनुमति नहीं दी",(d) नहीं,"(d) परिवार, बुज़ुर्ग, शिक्षक आदि ने अनुमति नहीं दी",(d) नहीं,"(d) परिवार, बुज़ुर्ग, शिक्षक आदि ने अनुमति नहीं दी",(b) नहीं,"(d) परिवार, बुज़ुर्ग, शिक्षक आदि ने अनुमति नहीं दी"
197,UDHAM SINGH NAGAR,लड़की,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(c) हाँ, एक या दो बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(c) हाँ, एक या दो बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,(b) नहीं,(b) मन नहीं था
198,TEHRI GARHWAL,लड़का,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(c) हाँ, एक या दो बार",,(b) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला
199,PAURI GARHWAL,लड़का,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,(a) हाँ,
200,CHAMOLI,लड़का,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,(a) हाँ,
201,PAURI GARHWAL,लड़का,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,(d) नहीं,(b) मन नहीं था,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,(d) नहीं,(b) मन नहीं था,"(a) हाँ, बहुत बार",,"(c) हाँ, एक या दो बार",,(b) नहीं,(b) मन नहीं था
202,PAURI GARHWAL,लड़की,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,(d) नहीं,(c) करना चाहा लेकिन कभी मौका नहीं मिला,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,(b) नहीं,(b) मन नहीं था
203,UDHAM SINGH NAGAR,लड़की,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,"(b) हाँ, कभी-कभी",,"(a) हाँ, बहुत बार",,"(c) हाँ, एक या दो बार",,"(c) हाँ, एक या दो बार",,"(c) हाँ, एक या दो बार",,(b) नहीं,(b) मन नहीं था
204,PAURI GARHWAL,लड़की,"(a) हाँ, बहुत बार",,"(a) हाँ, बहुत बार",,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,"(c) हाँ, एक या दो बार",,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,"(b) हाँ, कभी-कभी",,(d) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी,(b) नहीं,(a) अब तक कभी ज़रूरत नहीं लगी
